
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
49 ani, Feminin, Urban, Harghita, Anul 2013, Numar persoane, 806
49 ani, Feminin, Urban, Harghita, Anul 2014, Numar persoane, 768
49 ani, Feminin, Urban, Harghita, Anul 2015, Numar persoane, 805
49 ani, Feminin, Urban, Harghita, Anul 2016, Numar persoane, 744
49 ani, Feminin, Rural, Covasna, Anul 2012, Numar persoane, 465
49 ani, Feminin, Rural, Covasna, Anul 2013, Numar persoane, 473
49 ani, Feminin, Rural, Covasna, Anul 2014, Numar persoane, 462
49 ani, Feminin, Rural, Covasna, Anul 2015, Numar persoane, 467
49 ani, Feminin, Rural, Covasna, Anul 2016, Numar persoane, 470
49 ani, Feminin, Rural, Harghita, Anul 2012, Numar persoane, 846
49 ani, Feminin, Rural, Harghita, Anul 2013, Numar persoane, 865
49 ani, Feminin, Rural, Harghita, Anul 2014, Numar persoane, 828
49 ani, Feminin, Rural, Harghita, Anul 2015, Numar persoane, 880
49 ani, Feminin, Rural, Harghita, Anul 2016, Numar persoane, 815
50-54 ani, Total, Total, Covasna, Anul 2012, Numar persoane, 13058
50-54 ani, Total, Total, Covasna, Anul 2013, Numar persoane, 12366
50-54 ani, Total, Total, Covasna, Anul 2014, Numar persoane, 11783
50-54 ani, Total, Total, Covasna, Anul 2015, Numar persoane, 11091
50-54 ani, Total, Total, Covasna, Anul 2016, Numar persoane, 10740
50-54 ani, Total, Total, Harghita, Anul 2012, Numar persoane, 19017
50-54 ani, Total, Total, Harghita, Anul 2013, Numar persoane, 18205
50-54 ani, Total, Total, Harghita, Anul 2014, Numar persoane, 17455
50-54 ani, Total, Total, Harghita, Anul 2015, Numar persoane, 16927
50-54 ani, Total, Total, Harghita, Anul 2016, Numar persoane, 16661
50-54 ani, Total, Urban, Covasna, Anul 2012, Numar persoane, 7197
50-54 ani, Total, Urban, Covasna, Anul 2013, Numar persoane, 6814
50-54 ani, Total, Urban, Covasna, Anul 2014, Numar persoane, 6493
50-54 ani, Total, Urban, Covasna, Anul 2015, Numar persoane, 6088
50-54 ani, Total, Urban, Covasna, Anul 2016, Numar persoane, 5762
50-54 ani, Total, Urban, Harghita, Anul 2012, Numar persoane, 9306
50-54 ani, Total, Urban, Harghita, Anul 2013, Numar persoane, 8811
50-54 ani, Total, Urban, Harghita, Anul 2014, Numar persoane, 8339
50-54 ani, Total, Urban, Harghita, Anul 2015, Numar persoane, 7975
50-54 ani, Total, Urban, Harghita, Anul 2016, Numar persoane, 7675
50-54 ani, Total, Rural, Covasna, Anul 2012, Numar persoane, 5861
50-54 ani, Total, Rural, Covasna, Anul 2013, Numar persoane, 5552
50-54 ani, Total, Rural, Covasna, Anul 2014, Numar persoane, 5290
50-54 ani, Total, Rural, Covasna, Anul 2015, Numar persoane, 5003
50-54 ani, Total, Rural, Covasna, Anul 2016, Numar persoane, 4978
50-54 ani, Total, Rural, Harghita, Anul 2012, Numar persoane, 9711
50-54 ani, Total, Rural, Harghita, Anul 2013, Numar persoane, 9394
50-54 ani, Total, Rural, Harghita, Anul 2014, Numar persoane, 9116
50-54 ani, Total, Rural, Harghita, Anul 2015, Numar persoane, 8952
50-54 ani, Total, Rural, Harghita, Anul 2016, Numar persoane, 8986
50-54 ani, Masculin, Total, Covasna, Anul 2012, Numar persoane, 6355
50-54 ani, Masculin, Total, Covasna, Anul 2013, Numar persoane, 6025
50-54 ani, Masculin, Total, Covasna, Anul 2014, Numar persoane, 5755
50-54 ani, Masculin, Total, Covasna, Anul 2015, Numar persoane, 5437
50-54 ani, Masculin, Total, Covasna, Anul 2016, Numar persoane, 5270
50-54 ani, Masculin, Total, Harghita, Anul 2012, Numar persoane, 9339
50-54 ani, Masculin, Total, Harghita, Anul 2013, Numar persoane, 8989
50-54 ani, Masculin, Total, Harghita, Anul 2014, Numar persoane, 8727
50-54 ani, Masculin, Total, Harghita, Anul 2015, Numar persoane, 8556
50-54 ani, Masculin, Total, Harghita, Anul 2016, Numar persoane, 8415
50-54 ani, Masculin, Urban, Covasna, Anul 2012, Numar persoane, 3295
50-54 ani, Masculin, Urban, Covasna, Anul 2013, Numar persoane, 3109
50-54 ani, Masculin, Urban, Covasna, Anul 2014, Numar persoane, 2959
50-54 ani, Masculin, Urban, Covasna, Anul 2015, Numar persoane, 2779
50-54 ani, Masculin, Urban, Covasna, Anul 2016, Numar persoane, 2657
50-54 ani, Masculin, Urban, Harghita, Anul 2012, Numar persoane, 4271
50-54 ani, Masculin, Urban, Harghita, Anul 2013, Numar persoane, 4050
50-54 ani, Masculin, Urban, Harghita, Anul 2014, Numar persoane, 3930
50-54 ani, Masculin, Urban, Harghita, Anul 2015, Numar persoane, 3815
50-54 ani, Masculin, Urban, Harghita, Anul 2016, Numar persoane, 3693
50-54 ani, Masculin, Rural, Covasna, Anul 2012, Numar persoane, 3060
50-54 ani, Masculin, Rural, Covasna, Anul 2013, Numar persoane, 2916
50-54 ani, Masculin, Rural, Covasna, Anul 2014, Numar persoane, 2796
50-54 ani, Masculin, Rural, Covasna, Anul 2015, Numar persoane, 2658
50-54 ani, Masculin, Rural, Covasna, Anul 2016, Numar persoane, 2613
50-54 ani, Masculin, Rural, Harghita, Anul 2012, Numar persoane, 5068
50-54 ani, Masculin, Rural, Harghita, Anul 2013, Numar persoane, 4939
50-54 ani, Masculin, Rural, Harghita, Anul 2014, Numar persoane, 4797
50-54 ani, Masculin, Rural, Harghita, Anul 2015, Numar persoane, 4741
50-54 ani, Masculin, Rural, Harghita, Anul 2016, Numar persoane, 4722
50-54 ani, Feminin, Total, Covasna, Anul 2012, Numar persoane, 6703
50-54 ani, Feminin, Total, Covasna, Anul 2013, Numar persoane, 6341
50-54 ani, Feminin, Total, Covasna, Anul 2014, Numar persoane, 6028
50-54 ani, Feminin, Total, Covasna, Anul 2015, Numar persoane, 5654
50-54 ani, Feminin, Total, Covasna, Anul 2016, Numar persoane, 5470
50-54 ani, Feminin, Total, Harghita, Anul 2012, Numar persoane, 9678
50-54 ani, Feminin, Total, Harghita, Anul 2013, Numar persoane, 9216
50-54 ani, Feminin, Total, Harghita, Anul 2014, Numar persoane, 8728
50-54 ani, Feminin, Total, Harghita, Anul 2015, Numar persoane, 8371
50-54 ani, Feminin, Total, Harghita, Anul 2016, Numar persoane, 8246
50-54 ani, Feminin, Urban, Covasna, Anul 2012, Numar persoane, 3902
50-54 ani, Feminin, Urban, Covasna, Anul 2013, Numar persoane, 3705
50-54 ani, Feminin, Urban, Covasna, Anul 2014, Numar persoane, 3534
50-54 ani, Feminin, Urban, Covasna, Anul 2015, Numar persoane, 3309
50-54 ani, Feminin, Urban, Covasna, Anul 2016, Numar persoane, 3105
50-54 ani, Feminin, Urban, Harghita, Anul 2012, Numar persoane, 5035
50-54 ani, Feminin, Urban, Harghita, Anul 2013, Numar persoane, 4761
50-54 ani, Feminin, Urban, Harghita, Anul 2014, Numar persoane, 4409
50-54 ani, Feminin, Urban, Harghita, Anul 2015, Numar persoane, 4160
50-54 ani, Feminin, Urban, Harghita, Anul 2016, Numar persoane, 3982
50-54 ani, Feminin, Rural, Covasna, Anul 2012, Numar persoane, 2801
50-54 ani, Feminin, Rural, Covasna, Anul 2013, Numar persoane, 2636
50-54 ani, Feminin, Rural, Covasna, Anul 2014, Numar persoane, 2494
50-54 ani, Feminin, Rural, Covasna, Anul 2015, Numar persoane, 2345
50-54 ani, Feminin, Rural, Covasna, Anul 2016, Numar persoane, 2365
50-54 ani, Feminin, Rural, Harghita, Anul 2012, Numar persoane, 4643
50-54 ani, Feminin, Rural, Harghita, Anul 2013, Numar persoane, 4455
50-54 ani, Feminin, Rural, Harghita, Anul 2014, Numar persoane, 4319
50-54 ani, Feminin, Rural, Harghita, Anul 2015, Numar persoane, 4211
50-54 ani, Feminin, Rural, Harghita, Anul 2016, Numar persoane, 4264
50 ani, Total, Total, Covasna, Anul 2012, Numar persoane, 2305
50 ani, Total, Total, Covasna, Anul 2013, Numar persoane, 2365
50 ani, Total, Total, Covasna, Anul 2014, Numar persoane, 2231
50 ani, Total, Total, Covasna, Anul 2015, Numar persoane, 2018
50 ani, Total, Total, Covasna, Anul 2016, Numar persoane, 2008
50 ani, Total, Total, Harghita, Anul 2012, Numar persoane, 3510
50 ani, Total, Total, Harghita, Anul 2013, Numar persoane, 3450
50 ani, Total, Total, Harghita, Anul 2014, Numar persoane, 3351
50 ani, Total, Total, Harghita, Anul 2015, Numar persoane, 3267
50 ani, Total, Total, Harghita, Anul 2016, Numar persoane, 3330
50 ani, Total, Urban, Covasna, Anul 2012, Numar persoane, 1311
50 ani, Total, Urban, Covasna, Anul 2013, Numar persoane, 1330
50 ani, Total, Urban, Covasna, Anul 2014, Numar persoane, 1216
50 ani, Total, Urban, Covasna, Anul 2015, Numar persoane, 1043
50 ani, Total, Urban, Covasna, Anul 2016, Numar persoane, 1047
50 ani, Total, Urban, Harghita, Anul 2012, Numar persoane, 1688
50 ani, Total, Urban, Harghita, Anul 2013, Numar persoane, 1649
50 ani, Total, Urban, Harghita, Anul 2014, Numar persoane, 1552
50 ani, Total, Urban, Harghita, Anul 2015, Numar persoane, 1480
50 ani, Total, Urban, Harghita, Anul 2016, Numar persoane, 1501
50 ani, Total, Rural, Covasna, Anul 2012, Numar persoane, 994
50 ani, Total, Rural, Covasna, Anul 2013, Numar persoane, 1035
50 ani, Total, Rural, Covasna, Anul 2014, Numar persoane, 1015
50 ani, Total, Rural, Covasna, Anul 2015, Numar persoane, 975
50 ani, Total, Rural, Covasna, Anul 2016, Numar persoane, 961
50 ani, Total, Rural, Harghita, Anul 2012, Numar persoane, 1822
50 ani, Total, Rural, Harghita, Anul 2013, Numar persoane, 1801
50 ani, Total, Rural, Harghita, Anul 2014, Numar persoane, 1799
50 ani, Total, Rural, Harghita, Anul 2015, Numar persoane, 1787
50 ani, Total, Rural, Harghita, Anul 2016, Numar persoane, 1829
50 ani, Masculin, Total, Covasna, Anul 2012, Numar persoane, 1088
50 ani, Masculin, Total, Covasna, Anul 2013, Numar persoane, 1200
50 ani, Masculin, Total, Covasna, Anul 2014, Numar persoane, 1098
50 ani, Masculin, Total, Covasna, Anul 2015, Numar persoane, 1006
50 ani, Masculin, Total, Covasna, Anul 2016, Numar persoane, 988
50 ani, Masculin, Total, Harghita, Anul 2012, Numar persoane, 1781
50 ani, Masculin, Total, Harghita, Anul 2013, Numar persoane, 1741
50 ani, Masculin, Total, Harghita, Anul 2014, Numar persoane, 1693
50 ani, Masculin, Total, Harghita, Anul 2015, Numar persoane, 1691
50 ani, Masculin, Total, Harghita, Anul 2016, Numar persoane, 1652
50 ani, Masculin, Urban, Covasna, Anul 2012, Numar persoane, 585
50 ani, Masculin, Urban, Covasna, Anul 2013, Numar persoane, 625
50 ani, Masculin, Urban, Covasna, Anul 2014, Numar persoane, 556
50 ani, Masculin, Urban, Covasna, Anul 2015, Numar persoane, 488
50 ani, Masculin, Urban, Covasna, Anul 2016, Numar persoane, 490
50 ani, Masculin, Urban, Harghita, Anul 2012, Numar persoane, 821
50 ani, Masculin, Urban, Harghita, Anul 2013, Numar persoane, 787
50 ani, Masculin, Urban, Harghita, Anul 2014, Numar persoane, 756
50 ani, Masculin, Urban, Harghita, Anul 2015, Numar persoane, 719
50 ani, Masculin, Urban, Harghita, Anul 2016, Numar persoane, 707
50 ani, Masculin, Rural, Covasna, Anul 2012, Numar persoane, 503
50 ani, Masculin, Rural, Covasna, Anul 2013, Numar persoane, 575
50 ani, Masculin, Rural, Covasna, Anul 2014, Numar persoane, 542
50 ani, Masculin, Rural, Covasna, Anul 2015, Numar persoane, 518
50 ani, Masculin, Rural, Covasna, Anul 2016, Numar persoane, 498
50 ani, Masculin, Rural, Harghita, Anul 2012, Numar persoane, 960
50 ani, Masculin, Rural, Harghita, Anul 2013, Numar persoane, 954
50 ani, Masculin, Rural, Harghita, Anul 2014, Numar persoane, 937
50 ani, Masculin, Rural, Harghita, Anul 2015, Numar persoane, 972
50 ani, Masculin, Rural, Harghita, Anul 2016, Numar persoane, 945
50 ani, Feminin, Total, Covasna, Anul 2012, Numar persoane, 1217
50 ani, Feminin, Total, Covasna, Anul 2013, Numar persoane, 1165
50 ani, Feminin, Total, Covasna, Anul 2014, Numar persoane, 1133
50 ani, Feminin, Total, Covasna, Anul 2015, Numar persoane, 1012
50 ani, Feminin, Total, Covasna, Anul 2016, Numar persoane, 1020
50 ani, Feminin, Total, Harghita, Anul 2012, Numar persoane, 1729
50 ani, Feminin, Total, Harghita, Anul 2013, Numar persoane, 1709
50 ani, Feminin, Total, Harghita, Anul 2014, Numar persoane, 1658
50 ani, Feminin, Total, Harghita, Anul 2015, Numar persoane, 1576
50 ani, Feminin, Total, Harghita, Anul 2016, Numar persoane, 1678
50 ani, Feminin, Urban, Covasna, Anul 2012, Numar persoane, 726
50 ani, Feminin, Urban, Covasna, Anul 2013, Numar persoane, 705
50 ani, Feminin, Urban, Covasna, Anul 2014, Numar persoane, 660
50 ani, Feminin, Urban, Covasna, Anul 2015, Numar persoane, 555
50 ani, Feminin, Urban, Covasna, Anul 2016, Numar persoane, 557
50 ani, Feminin, Urban, Harghita, Anul 2012, Numar persoane, 867
50 ani, Feminin, Urban, Harghita, Anul 2013, Numar persoane, 862
50 ani, Feminin, Urban, Harghita, Anul 2014, Numar persoane, 796
50 ani, Feminin, Urban, Harghita, Anul 2015, Numar persoane, 761
50 ani, Feminin, Urban, Harghita, Anul 2016, Numar persoane, 794
50 ani, Feminin, Rural, Covasna, Anul 2012, Numar persoane, 491
50 ani, Feminin, Rural, Covasna, Anul 2013, Numar persoane, 460
50 ani, Feminin, Rural, Covasna, Anul 2014, Numar persoane, 473
50 ani, Feminin, Rural, Covasna, Anul 2015, Numar persoane, 457
50 ani, Feminin, Rural, Covasna, Anul 2016, Numar persoane, 463
50 ani, Feminin, Rural, Harghita, Anul 2012, Numar persoane, 862
50 ani, Feminin, Rural, Harghita, Anul 2013, Numar persoane, 847
50 ani, Feminin, Rural, Harghita, Anul 2014, Numar persoane, 862
50 ani, Feminin, Rural, Harghita, Anul 2015, Numar persoane, 815
50 ani, Feminin, Rural, Harghita, Anul 2016, Numar persoane, 884
51 ani, Total, Total, Covasna, Anul 2012, Numar persoane, 2359
51 ani, Total, Total, Covasna, Anul 2013, Numar persoane, 2288
51 ani, Total, Total, Covasna, Anul 2014, Numar persoane, 2353
51 ani, Total, Total, Covasna, Anul 2015, Numar persoane, 2209
51 ani, Total, Total, Covasna, Anul 2016, Numar persoane, 2002
51 ani, Total, Total, Harghita, Anul 2012, Numar persoane, 3570
51 ani, Total, Total, Harghita, Anul 2013, Numar persoane, 3485
51 ani, Total, Total, Harghita, Anul 2014, Numar persoane, 3431
51 ani, Total, Total, Harghita, Anul 2015, Numar persoane, 3329
51 ani, Total, Total, Harghita, Anul 2016, Numar persoane, 3246
51 ani, Total, Urban, Covasna, Anul 2012, Numar persoane, 1352
51 ani, Total, Urban, Covasna, Anul 2013, Numar persoane, 1296
51 ani, Total, Urban, Covasna, Anul 2014, Numar persoane, 1313
51 ani, Total, Urban, Covasna, Anul 2015, Numar persoane, 1196
51 ani, Total, Urban, Covasna, Anul 2016, Numar persoane, 1030
51 ani, Total, Urban, Harghita, Anul 2012, Numar persoane, 1759
51 ani, Total, Urban, Harghita, Anul 2013, Numar persoane, 1671
51 ani, Total, Urban, Harghita, Anul 2014, Numar persoane, 1636
51 ani, Total, Urban, Harghita, Anul 2015, Numar persoane, 1537
51 ani, Total, Urban, Harghita, Anul 2016, Numar persoane, 1464
51 ani, Total, Rural, Covasna, Anul 2012, Numar persoane, 1007
51 ani, Total, Rural, Covasna, Anul 2013, Numar persoane, 992
51 ani, Total, Rural, Covasna, Anul 2014, Numar persoane, 1040
51 ani, Total, Rural, Covasna, Anul 2015, Numar persoane, 1013
51 ani, Total, Rural, Covasna, Anul 2016, Numar persoane, 972
51 ani, Total, Rural, Harghita, Anul 2012, Numar persoane, 1811
51 ani, Total, Rural, Harghita, Anul 2013, Numar persoane, 1814
51 ani, Total, Rural, Harghita, Anul 2014, Numar persoane, 1795
51 ani, Total, Rural, Harghita, Anul 2015, Numar persoane, 1792
51 ani, Total, Rural, Harghita, Anul 2016, Numar persoane, 1782
51 ani, Masculin, Total, Covasna, Anul 2012, Numar persoane, 1148
51 ani, Masculin, Total, Covasna, Anul 2013, Numar persoane, 1075
51 ani, Masculin, Total, Covasna, Anul 2014, Numar persoane, 1191
51 ani, Masculin, Total, Covasna, Anul 2015, Numar persoane, 1089
51 ani, Masculin, Total, Covasna, Anul 2016, Numar persoane, 998
51 ani, Masculin, Total, Harghita, Anul 2012, Numar persoane, 1781
51 ani, Masculin, Total, Harghita, Anul 2013, Numar persoane, 1770
51 ani, Masculin, Total, Harghita, Anul 2014, Numar persoane, 1729
51 ani, Masculin, Total, Harghita, Anul 2015, Numar persoane, 1677
51 ani, Masculin, Total, Harghita, Anul 2016, Numar persoane, 1681
51 ani, Masculin, Urban, Covasna, Anul 2012, Numar persoane, 597
51 ani, Masculin, Urban, Covasna, Anul 2013, Numar persoane, 575
51 ani, Masculin, Urban, Covasna, Anul 2014, Numar persoane, 617
51 ani, Masculin, Urban, Covasna, Anul 2015, Numar persoane, 549
51 ani, Masculin, Urban, Covasna, Anul 2016, Numar persoane, 481
51 ani, Masculin, Urban, Harghita, Anul 2012, Numar persoane, 815
51 ani, Masculin, Urban, Harghita, Anul 2013, Numar persoane, 813
51 ani, Masculin, Urban, Harghita, Anul 2014, Numar persoane, 778
51 ani, Masculin, Urban, Harghita, Anul 2015, Numar persoane, 749
51 ani, Masculin, Urban, Harghita, Anul 2016, Numar persoane, 710
51 ani, Masculin, Rural, Covasna, Anul 2012, Numar persoane, 551
51 ani, Masculin, Rural, Covasna, Anul 2013, Numar persoane, 500
51 ani, Masculin, Rural, Covasna, Anul 2014, Numar persoane, 574
51 ani, Masculin, Rural, Covasna, Anul 2015, Numar persoane, 540
51 ani, Masculin, Rural, Covasna, Anul 2016, Numar persoane, 517
51 ani, Masculin, Rural, Harghita, Anul 2012, Numar persoane, 966
51 ani, Masculin, Rural, Harghita, Anul 2013, Numar persoane, 957
51 ani, Masculin, Rural, Harghita, Anul 2014, Numar persoane, 951
51 ani, Masculin, Rural, Harghita, Anul 2015, Numar persoane, 928
51 ani, Masculin, Rural, Harghita, Anul 2016, Numar persoane, 971
51 ani, Feminin, Total, Covasna, Anul 2012, Numar persoane, 1211
51 ani, Feminin, Total, Covasna, Anul 2013, Numar persoane, 1213
51 ani, Feminin, Total, Covasna, Anul 2014, Numar persoane, 1162
51 ani, Feminin, Total, Covasna, Anul 2015, Numar persoane, 1120
51 ani, Feminin, Total, Covasna, Anul 2016, Numar persoane, 1004
51 ani, Feminin, Total, Harghita, Anul 2012, Numar persoane, 1789
51 ani, Feminin, Total, Harghita, Anul 2013, Numar persoane, 1715
51 ani, Feminin, Total, Harghita, Anul 2014, Numar persoane, 1702
51 ani, Feminin, Total, Harghita, Anul 2015, Numar persoane, 1652
51 ani, Feminin, Total, Harghita, Anul 2016, Numar persoane, 1565
51 ani, Feminin, Urban, Covasna, Anul 2012, Numar persoane, 755
51 ani, Feminin, Urban, Covasna, Anul 2013, Numar persoane, 721
51 ani, Feminin, Urban, Covasna, Anul 2014, Numar persoane, 696
51 ani, Feminin, Urban, Covasna, Anul 2015, Numar persoane, 647
51 ani, Feminin, Urban, Covasna, Anul 2016, Numar persoane, 549
51 ani, Feminin, Urban, Harghita, Anul 2012, Numar persoane, 944
51 ani, Feminin, Urban, Harghita, Anul 2013, Numar persoane, 858
51 ani, Feminin, Urban, Harghita, Anul 2014, Numar persoane, 858
51 ani, Feminin, Urban, Harghita, Anul 2015, Numar persoane, 788
51 ani, Feminin, Urban, Harghita, Anul 2016, Numar persoane, 754
51 ani, Feminin, Rural, Covasna, Anul 2012, Numar persoane, 456
51 ani, Feminin, Rural, Covasna, Anul 2013, Numar persoane, 492
51 ani, Feminin, Rural, Covasna, Anul 2014, Numar persoane, 466
51 ani, Feminin, Rural, Covasna, Anul 2015, Numar persoane, 473
51 ani, Feminin, Rural, Covasna, Anul 2016, Numar persoane, 455
51 ani, Feminin, Rural, Harghita, Anul 2012, Numar persoane, 845
51 ani, Feminin, Rural, Harghita, Anul 2013, Numar persoane, 857
51 ani, Feminin, Rural, Harghita, Anul 2014, Numar persoane, 844
51 ani, Feminin, Rural, Harghita, Anul 2015, Numar persoane, 864
51 ani, Feminin, Rural, Harghita, Anul 2016, Numar persoane, 811
52 ani, Total, Total, Covasna, Anul 2012, Numar persoane, 2646
52 ani, Total, Total, Covasna, Anul 2013, Numar persoane, 2342
52 ani, Total, Total, Covasna, Anul 2014, Numar persoane, 2272
52 ani, Total, Total, Covasna, Anul 2015, Numar persoane, 2334
52 ani, Total, Total, Covasna, Anul 2016, Numar persoane, 2203
52 ani, Total, Total, Harghita, Anul 2012, Numar persoane, 3747
52 ani, Total, Total, Harghita, Anul 2013, Numar persoane, 3555
52 ani, Total, Total, Harghita, Anul 2014, Numar persoane, 3464
52 ani, Total, Total, Harghita, Anul 2015, Numar persoane, 3406
52 ani, Total, Total, Harghita, Anul 2016, Numar persoane, 3302
52 ani, Total, Urban, Covasna, Anul 2012, Numar persoane, 1426
52 ani, Total, Urban, Covasna, Anul 2013, Numar persoane, 1331
52 ani, Total, Urban, Covasna, Anul 2014, Numar persoane, 1276
52 ani, Total, Urban, Covasna, Anul 2015, Numar persoane, 1302
52 ani, Total, Urban, Covasna, Anul 2016, Numar persoane, 1176
52 ani, Total, Urban, Harghita, Anul 2012, Numar persoane, 1824
52 ani, Total, Urban, Harghita, Anul 2013, Numar persoane, 1748
52 ani, Total, Urban, Harghita, Anul 2014, Numar persoane, 1650
52 ani, Total, Urban, Harghita, Anul 2015, Numar persoane, 1615
52 ani, Total, Urban, Harghita, Anul 2016, Numar persoane, 1510
52 ani, Total, Rural, Covasna, Anul 2012, Numar persoane, 1220
52 ani, Total, Rural, Covasna, Anul 2013, Numar persoane, 1011
52 ani, Total, Rural, Covasna, Anul 2014, Numar persoane, 996
52 ani, Total, Rural, Covasna, Anul 2015, Numar persoane, 1032
52 ani, Total, Rural, Covasna, Anul 2016, Numar persoane, 1027
52 ani, Total, Rural, Harghita, Anul 2012, Numar persoane, 1923
52 ani, Total, Rural, Harghita, Anul 2013, Numar persoane, 1807
52 ani, Total, Rural, Harghita, Anul 2014, Numar persoane, 1814
52 ani, Total, Rural, Harghita, Anul 2015, Numar persoane, 1791
52 ani, Total, Rural, Harghita, Anul 2016, Numar persoane, 1792
52 ani, Masculin, Total, Covasna, Anul 2012, Numar persoane, 1286
52 ani, Masculin, Total, Covasna, Anul 2013, Numar persoane, 1143
52 ani, Masculin, Total, Covasna, Anul 2014, Numar persoane, 1067
52 ani, Masculin, Total, Covasna, Anul 2015, Numar persoane, 1182
52 ani, Masculin, Total, Covasna, Anul 2016, Numar persoane, 1082
52 ani, Masculin, Total, Harghita, Anul 2012, Numar persoane, 1818
52 ani, Masculin, Total, Harghita, Anul 2013, Numar persoane, 1774
52 ani, Masculin, Total, Harghita, Anul 2014, Numar persoane, 1761
52 ani, Masculin, Total, Harghita, Anul 2015, Numar persoane, 1718
52 ani, Masculin, Total, Harghita, Anul 2016, Numar persoane, 1661
52 ani, Masculin, Urban, Covasna, Anul 2012, Numar persoane, 658
52 ani, Masculin, Urban, Covasna, Anul 2013, Numar persoane, 587
52 ani, Masculin, Urban, Covasna, Anul 2014, Numar persoane, 566
52 ani, Masculin, Urban, Covasna, Anul 2015, Numar persoane, 616
52 ani, Masculin, Urban, Covasna, Anul 2016, Numar persoane, 537
52 ani, Masculin, Urban, Harghita, Anul 2012, Numar persoane, 815
52 ani, Masculin, Urban, Harghita, Anul 2013, Numar persoane, 810
52 ani, Masculin, Urban, Harghita, Anul 2014, Numar persoane, 807
52 ani, Masculin, Urban, Harghita, Anul 2015, Numar persoane, 768
52 ani, Masculin, Urban, Harghita, Anul 2016, Numar persoane, 737
52 ani, Masculin, Rural, Covasna, Anul 2012, Numar persoane, 628
52 ani, Masculin, Rural, Covasna, Anul 2013, Numar persoane, 556
52 ani, Masculin, Rural, Covasna, Anul 2014, Numar persoane, 501
52 ani, Masculin, Rural, Covasna, Anul 2015, Numar persoane, 566
52 ani, Masculin, Rural, Covasna, Anul 2016, Numar persoane, 545
52 ani, Masculin, Rural, Harghita, Anul 2012, Numar persoane, 1003
52 ani, Masculin, Rural, Harghita, Anul 2013, Numar persoane, 964
52 ani, Masculin, Rural, Harghita, Anul 2014, Numar persoane, 954
52 ani, Masculin, Rural, Harghita, Anul 2015, Numar persoane, 950
52 ani, Masculin, Rural, Harghita, Anul 2016, Numar persoane, 924
52 ani, Feminin, Total, Covasna, Anul 2012, Numar persoane, 1360
52 ani, Feminin, Total, Covasna, Anul 2013, Numar persoane, 1199
52 ani, Feminin, Total, Covasna, Anul 2014, Numar persoane, 1205
52 ani, Feminin, Total, Covasna, Anul 2015, Numar persoane, 1152
52 ani, Feminin, Total, Covasna, Anul 2016, Numar persoane, 1121
52 ani, Feminin, Total, Harghita, Anul 2012, Numar persoane, 1929
52 ani, Feminin, Total, Harghita, Anul 2013, Numar persoane, 1781
52 ani, Feminin, Total, Harghita, Anul 2014, Numar persoane, 1703
52 ani, Feminin, Total, Harghita, Anul 2015, Numar persoane, 1688
52 ani, Feminin, Total, Harghita, Anul 2016, Numar persoane, 1641
52 ani, Feminin, Urban, Covasna, Anul 2012, Numar persoane, 768
52 ani, Feminin, Urban, Covasna, Anul 2013, Numar persoane, 744
52 ani, Feminin, Urban, Covasna, Anul 2014, Numar persoane, 710
52 ani, Feminin, Urban, Covasna, Anul 2015, Numar persoane, 686
52 ani, Feminin, Urban, Covasna, Anul 2016, Numar persoane, 639
52 ani, Feminin, Urban, Harghita, Anul 2012, Numar persoane, 1009
52 ani, Feminin, Urban, Harghita, Anul 2013, Numar persoane, 938
52 ani, Feminin, Urban, Harghita, Anul 2014, Numar persoane, 843
52 ani, Feminin, Urban, Harghita, Anul 2015, Numar persoane, 847
52 ani, Feminin, Urban, Harghita, Anul 2016, Numar persoane, 773
52 ani, Feminin, Rural, Covasna, Anul 2012, Numar persoane, 592
52 ani, Feminin, Rural, Covasna, Anul 2013, Numar persoane, 455
52 ani, Feminin, Rural, Covasna, Anul 2014, Numar persoane, 495
52 ani, Feminin, Rural, Covasna, Anul 2015, Numar persoane, 466
52 ani, Feminin, Rural, Covasna, Anul 2016, Numar persoane, 482
52 ani, Feminin, Rural, Harghita, Anul 2012, Numar persoane, 920
52 ani, Feminin, Rural, Harghita, Anul 2013, Numar persoane, 843
52 ani, Feminin, Rural, Harghita, Anul 2014, Numar persoane, 860
52 ani, Feminin, Rural, Harghita, Anul 2015, Numar persoane, 841
52 ani, Feminin, Rural, Harghita, Anul 2016, Numar persoane, 868
53 ani, Total, Total, Covasna, Anul 2012, Numar persoane, 2779
53 ani, Total, Total, Covasna, Anul 2013, Numar persoane, 2621
53 ani, Total, Total, Covasna, Anul 2014, Numar persoane, 2328
53 ani, Total, Total, Covasna, Anul 2015, Numar persoane, 2241
53 ani, Total, Total, Covasna, Anul 2016, Numar persoane, 2309
53 ani, Total, Total, Harghita, Anul 2012, Numar persoane, 4042
53 ani, Total, Total, Harghita, Anul 2013, Numar persoane, 3713
53 ani, Total, Total, Harghita, Anul 2014, Numar persoane, 3529
53 ani, Total, Total, Harghita, Anul 2015, Numar persoane, 3431
53 ani, Total, Total, Harghita, Anul 2016, Numar persoane, 3381
53 ani, Total, Urban, Covasna, Anul 2012, Numar persoane, 1478
53 ani, Total, Urban, Covasna, Anul 2013, Numar persoane, 1405
